Incumplimiento,Estado_cuenta,Historial_credito,Proposito,Ahorros,Empleo_actual,Cuota_como_porcentaje_ingreso,Otros_deudores,Residencia_actual_desde,Propiedad,Otros_planes_cuotas,Vivienda,Creditos_en_banco,Trabajo,Personas_a_cargo,Telefono,Trabajador_extranjero,Rango_edad,Rango_valor_credito,Rango_plazos_credito,Sexo,Estado_civil
0,1,5,5,1,1,4,1,4,1,3,2,2,3,1,1,1,5,2,1,0,1
1,2,2,5,5,3,2,1,2,1,3,2,1,3,1,0,1,1,6,4,1,0
0,4,5,3,5,2,2,1,3,1,3,2,1,2,2,0,1,3,3,1,0,1
0,1,2,4,5,2,2,3,4,2,3,3,1,3,2,0,1,3,8,4,0,1
1,1,2,1,5,3,3,1,4,4,3,3,2,3,2,0,1,4,5,2,0,1
0,4,2,3,1,3,2,1,4,4,3,3,1,2,2,1,1,2,9,3,0,1
0,4,2,4,3,1,3,1,4,2,3,2,1,3,1,0,1,4,3,2,0,1
0,2,2,2,5,3,2,1,2,3,3,1,1,4,1,1,1,2,7,3,0,1
0,4,2,5,2,2,2,1,4,1,3,2,1,2,1,0,1,5,4,1,0,0
1,2,5,1,5,5,4,1,2,3,3,2,2,4,1,0,1,1,6,3,0,0
1,2,2,1,5,4,3,1,1,3,3,1,1,3,1,0,1,1,2,1,1,0
1,1,2,10,5,4,3,1,4,2,3,1,1,3,1,0,1,1,5,4,1,0
0,2,2,5,5,3,1,1,1,3,3,2,1,3,1,1,1,1,2,1,1,0
1,1,5,1,5,1,4,1,4,3,3,2,2,2,1,0,1,4,2,2,0,1
0,1,2,1,5,3,2,1,4,3,3,1,1,3,1,0,1,1,2,2,1,0
1,1,2,5,4,3,4,1,2,3,3,2,1,2,1,0,1,2,2,2,1,0
0,4,5,5,1,1,4,1,4,2,3,2,2,3,1,0,1,4,3,2,0,1
0,1,1,10,1,4,2,1,3,3,1,2,3,3,1,0,1,1,9,3,0,1
1,2,2,2,5,1,4,1,2,4,3,3,1,4,1,1,1,3,13,2,1,0
0,4,2,5,3,1,3,1,2,3,3,2,1,3,2,1,1,2,4,2,0,1
0,4,5,1,5,3,4,1,4,3,3,2,3,3,1,1,1,3,3,1,0,1
0,1,2,5,3,3,2,1,3,1,3,1,1,3,2,0,1,3,3,1,0,1
0,1,5,1,5,4,1,1,3,1,3,1,2,2,2,0,0,3,3,1,0,1
0,2,5,2,4,4,3,1,4,2,3,2,1,3,1,0,1,3,2,1,0,1
0,4,5,4,1,3,2,1,1,3,3,2,2,3,1,0,0,1,3,1,0,0
0,1,2,4,5,3,1,1,2,1,1,2,1,2,1,1,1,2,2,1,0,1
0,4,1,5,5,1,4,1,4,3,3,2,1,2,1,0,1,2,1,1,0,0
0,3,1,5,2,3,3,1,3,1,3,1,2,3,1,0,1,3,1,1,1,0
0,2,2,5,5,3,3,3,2,1,3,2,1,3,1,0,1,2,3,1,0,1
1,1,2,10,5,1,3,1,4,4,3,2,2,3,1,1,1,5,7,5,0,1
0,2,2,10,2,4,3,1,3,1,1,2,1,3,1,1,1,2,2,2,0,0
0,1,2,4,5,3,2,1,2,3,2,2,1,3,1,0,1,1,5,2,0,1
0,2,2,1,4,3,2,1,2,3,3,2,2,3,1,1,1,1,6,2,0,1
0,4,5,10,1,1,4,1,4,4,3,1,1,2,1,0,1,4,2,1,0,1
0,3,2,4,5,4,4,1,1,2,1,2,1,4,1,1,1,2,2,1,1,0
1,2,5,5,5,4,4,1,2,2,3,2,2,2,1,0,1,1,5,4,0,1
0,4,5,3,5,3,1,1,3,4,1,3,1,3,1,1,1,2,7,4,0,1
1,3,2,5,5,3,4,2,2,1,2,2,1,3,1,0,1,2,3,2,0,1
0,3,2,3,5,3,2,1,2,3,3,2,1,3,1,1,1,2,2,1,0,1
0,2,2,5,5,3,4,1,3,1,3,2,1,3,1,0,1,1,1,1,0,1
0,4,2,5,3,1,4,1,2,3,1,2,1,4,1,0,1,1,3,3,0,1
0,2,2,5,3,3,3,1,1,3,3,2,1,3,1,1,1,1,2,1,0,0
0,2,2,3,5,3,2,1,4,1,3,2,1,2,2,1,1,3,7,2,0,1
0,1,5,2,4,2,1,1,4,3,3,1,2,3,1,0,1,1,7,3,0,0
1,1,5,2,5,1,4,1,4,4,2,3,2,2,1,0,1,4,7,4,1,0
0,4,5,1,5,4,4,1,4,3,3,2,2,4,1,0,1,2,2,1,1,0
0,4,2,5,3,1,4,1,4,3,3,2,1,3,1,0,1,2,3,3,0,1
0,1,2,2,3,5,1,1,2,2,3,1,1,1,1,1,1,1,2,1,1,0
0,4,5,1,5,3,1,1,4,2,3,2,2,2,1,0,1,2,8,1,0,1
0,4,2,5,4,3,4,2,2,1,3,2,1,3,1,0,1,1,3,1,1,0
0,2,2,4,1,4,4,1,2,2,1,2,1,2,1,0,1,1,3,2,0,1
0,2,2,2,5,1,1,1,2,3,3,2,2,4,1,1,1,1,6,3,0,1
0,4,2,5,5,3,3,1,2,3,3,2,1,3,1,0,1,1,2,1,0,1
0,4,2,2,1,3,2,1,1,2,3,2,1,3,1,1,1,2,4,2,0,1
1,2,2,1,5,1,4,1,4,4,1,3,2,3,1,1,1,4,3,3,0,1
0,4,1,1,1,3,1,3,2,1,2,2,1,2,2,0,1,1,1,1,0,1
1,2,2,5,1,5,2,1,1,4,3,2,1,4,1,1,1,4,7,1,0,1
0,4,5,5,5,3,2,1,2,3,2,2,2,3,1,0,1,2,9,3,1,0
0,3,2,1,5,1,3,1,2,3,3,2,1,4,1,0,1,1,2,2,1,0
1,1,5,4,5,4,4,2,4,4,3,1,2,2,1,1,1,1,7,3,1,0
0,2,2,10,5,3,2,1,1,1,1,2,1,3,1,1,1,1,2,1,0,0
0,2,5,5,1,1,4,3,4,1,3,2,2,3,1,1,1,3,2,2,0,1
1,2,1,10,5,1,4,1,4,4,3,3,1,4,1,1,1,5,2,3,0,1
1,2,1,10,5,3,2,1,2,3,3,2,1,3,1,1,1,1,15,4,0,1
0,4,2,5,5,4,4,1,4,2,3,2,1,3,1,1,1,1,4,2,1,0
0,4,2,3,1,1,4,1,4,2,3,2,3,3,2,1,1,3,6,3,0,1
0,4,2,5,5,4,2,1,2,3,1,2,1,3,1,0,1,1,3,1,1,0
0,2,2,1,2,3,4,1,1,1,3,2,1,3,1,0,1,1,2,1,0,0
1,4,2,3,5,3,4,1,4,4,2,3,1,3,1,1,1,2,2,3,0,1
0,4,2,5,1,3,4,1,4,3,3,2,1,3,1,0,1,1,3,3,1,0
0,4,2,2,5,3,1,1,2,2,1,2,1,3,1,0,1,1,9,3,1,0
0,4,5,5,1,1,4,1,2,2,3,1,2,2,1,1,1,3,1,1,0,1
0,1,5,3,5,1,3,1,4,4,1,3,2,4,2,1,1,4,2,1,0,1
0,2,5,10,5,2,2,1,1,1,1,2,2,2,1,0,1,3,6,4,1,0
1,1,2,3,1,1,4,1,4,4,3,2,1,4,1,1,1,2,2,3,0,1
0,1,5,2,5,1,4,1,4,4,3,3,2,4,1,0,1,5,2,1,0,1
1,1,2,5,5,4,4,1,3,3,3,2,1,3,1,0,1,2,4,4,0,1
0,2,2,5,5,2,2,1,4,2,3,2,1,3,1,0,1,4,5,1,0,1
0,4,1,2,1,3,2,1,2,2,3,2,1,2,2,0,1,2,9,5,0,1
0,2,2,4,5,4,2,1,1,2,3,2,1,3,1,0,1,1,4,3,0,0
1,4,2,5,1,4,1,1,1,3,3,2,2,3,1,1,1,3,6,2,1,0
0,4,2,5,3,1,4,1,3,2,2,2,1,3,1,1,1,3,2,2,0,1
0,4,2,10,4,3,3,1,4,2,3,1,1,2,1,0,1,1,2,2,1,0
0,1,2,3,5,1,4,3,4,1,3,2,1,2,1,1,1,4,2,2,1,0
0,1,2,5,5,1,3,1,4,1,3,2,1,2,1,0,1,4,3,1,0,1
0,4,5,10,5,3,4,3,2,1,3,2,2,4,1,1,1,1,2,1,1,0
0,2,5,4,5,4,4,1,1,2,3,2,2,3,1,0,1,1,2,2,1,0
1,2,2,3,4,3,1,1,4,4,3,3,1,3,2,1,1,3,13,3,0,1
0,1,2,1,4,2,4,1,3,3,3,2,1,4,2,1,1,1,3,2,0,1
1,1,1,3,5,2,4,1,3,1,3,2,2,3,1,0,1,1,2,1,0,1
0,4,5,5,5,1,4,1,4,1,3,2,1,3,1,0,1,4,1,1,0,1
0,1,5,2,5,1,4,1,3,1,3,2,1,3,1,0,1,4,2,1,0,1
1,4,5,5,1,1,4,1,3,2,1,2,1,2,2,0,1,2,1,1,1,0
0,3,5,4,1,1,4,2,4,4,3,1,2,3,1,0,1,1,4,2,0,1
0,2,2,1,2,1,4,1,4,1,3,2,1,3,1,1,1,4,2,1,0,1
1,2,1,10,5,4,3,1,4,4,3,1,1,3,1,1,1,4,14,5,0,1
0,4,5,3,1,2,4,1,2,3,3,2,1,3,1,0,1,5,3,1,1,0
0,2,2,10,4,3,4,1,4,3,3,2,1,3,1,0,1,2,3,2,0,1
0,2,5,5,5,1,4,1,4,1,3,2,1,3,1,0,1,2,3,3,0,1
0,2,2,2,1,2,3,1,4,2,1,1,2,4,2,1,1,2,8,2,0,1
0,4,2,1,4,1,4,1,4,1,3,1,1,2,1,0,1,3,2,2,0,0
0,2,2,5,5,2,4,1,4,3,3,1,1,3,1,0,1,1,3,3,0,1
0,4,2,5,5,3,3,1,2,1,3,2,1,3,1,0,1,1,1,1,1,0
0,2,5,4,5,2,4,1,3,3,3,1,1,3,1,1,1,2,2,1,0,1
0,4,2,2,1,4,2,1,4,3,3,1,1,3,1,1,1,1,3,1,0,0
1,2,5,3,5,3,2,2,3,3,3,2,2,4,2,1,1,2,12,2,0,1
1,4,1,1,5,1,2,1,4,4,1,2,2,4,2,1,1,2,7,2,0,1
0,2,2,1,5,2,2,1,2,3,3,2,1,3,1,0,1,2,7,1,0,1
0,1,2,4,1,4,1,1,2,2,3,2,1,3,1,1,0,1,8,2,1,0
0,2,2,10,3,1,1,1,2,1,3,2,1,3,1,1,1,2,2,2,0,0
0,2,2,10,4,1,1,1,2,3,1,2,2,3,2,0,1,2,2,1,0,0
0,3,2,3,5,4,4,1,4,2,3,1,1,3,1,1,1,1,1,2,1,0
0,2,2,1,5,2,3,1,3,1,3,1,1,2,1,0,1,1,7,2,0,1
1,4,5,1,5,3,4,1,2,1,2,2,2,3,1,1,1,1,8,3,1,0
0,1,2,5,3,1,3,1,1,1,3,2,1,3,1,0,1,2,2,1,0,0
0,4,5,5,1,1,4,1,1,1,3,2,1,3,1,1,1,3,4,4,0,1
1,1,2,5,1,2,4,1,3,3,3,2,1,4,1,1,1,1,8,4,1,0
0,1,5,4,1,4,2,2,3,1,3,1,2,3,1,0,0,1,3,1,1,0
1,1,5,4,3,3,1,1,4,3,3,2,2,3,1,0,1,1,5,3,1,0
0,2,5,1,3,2,3,1,3,3,3,2,1,4,1,1,1,2,3,1,0,0
1,1,2,5,5,3,3,1,2,1,3,2,2,3,1,1,1,1,2,2,1,0
0,4,5,2,5,1,4,1,2,3,3,1,2,4,1,1,1,3,4,2,1,0
0,4,2,4,5,3,3,1,2,1,3,1,1,2,1,0,1,1,2,1,0,1
0,3,5,1,5,1,4,1,4,4,3,3,2,3,1,1,1,5,1,1,0,1
1,2,2,4,1,4,4,1,3,1,3,1,1,3,1,0,1,1,2,2,1,0
0,1,5,1,5,3,4,1,2,2,3,2,2,3,1,0,1,1,3,1,0,1
0,1,2,5,5,3,4,1,2,1,3,2,1,2,1,0,1,2,1,1,0,0
1,2,2,3,5,3,4,1,2,3,3,2,1,3,1,0,1,1,1,1,0,1
0,2,5,2,5,5,4,1,2,3,3,2,2,4,1,1,1,2,2,1,0,1
1,1,5,1,5,3,3,2,2,1,3,2,2,3,1,0,1,1,4,1,1,0
0,2,2,1,1,2,1,1,2,3,3,2,1,3,1,0,1,1,9,4,1,0
1,1,2,3,5,3,4,1,3,2,2,2,1,3,1,1,1,1,7,3,0,1
0,4,2,4,5,4,2,1,3,2,1,2,2,2,1,0,1,1,3,2,0,1
0,4,2,4,5,3,4,1,4,4,1,3,2,3,1,0,1,3,2,2,0,1
0,4,2,5,4,2,2,1,4,1,3,2,1,3,1,1,1,1,9,5,1,0
0,4,5,5,1,1,4,1,2,1,3,2,2,3,1,1,1,2,2,1,1,0
0,4,2,2,2,3,2,1,2,3,3,2,2,3,1,0,1,1,9,3,0,1
1,2,2,5,3,3,4,1,3,1,3,2,1,2,1,0,1,5,1,1,0,1
0,2,5,5,1,2,4,3,2,1,1,2,3,3,1,1,1,2,3,2,0,1
0,3,2,5,5,3,2,1,2,3,3,1,1,2,1,1,1,3,2,1,1,0
0,3,2,1,2,4,2,1,2,1,3,2,1,1,1,0,0,1,1,1,0,0
0,2,2,5,5,4,4,1,1,4,3,2,1,4,1,1,1,1,5,3,1,0
0,1,2,5,5,3,3,1,2,3,3,2,1,4,1,0,1,1,4,3,0,1
1,1,2,4,5,3,2,1,2,3,3,2,1,3,1,0,1,1,3,2,0,1
0,4,5,4,5,4,4,1,4,2,3,2,1,3,1,1,1,1,3,2,1,0
0,2,1,10,4,2,4,1,2,3,3,2,1,3,1,0,1,1,4,4,0,1
0,1,5,1,5,1,1,1,4,4,3,2,2,3,1,1,1,2,1,1,1,0
0,4,5,1,4,2,4,1,3,3,3,2,2,3,1,1,1,4,1,1,1,0
0,1,5,4,5,3,3,3,2,2,3,2,2,3,1,0,1,1,6,3,0,1
0,4,5,5,2,1,4,1,4,3,3,2,2,3,1,0,1,3,2,2,0,1
0,4,2,5,4,1,2,1,4,4,1,3,1,3,2,1,1,3,2,1,0,1
0,4,2,5,5,3,1,1,4,2,3,2,1,3,1,1,0,2,2,1,0,1
0,3,2,5,5,3,4,1,1,3,3,2,1,3,1,0,1,1,6,3,0,1
0,2,5,2,2,1,2,1,4,4,3,1,1,3,1,0,1,1,8,2,1,0
0,2,2,10,4,2,4,1,4,3,3,1,1,4,1,1,1,2,7,2,0,1
1,1,2,4,5,3,2,1,4,3,3,1,1,3,1,0,1,1,2,1,1,0
0,1,5,3,4,1,3,3,4,1,3,2,2,3,2,0,0,3,2,1,0,1
0,1,1,3,5,1,4,1,1,3,1,2,1,2,1,0,1,3,1,1,0,0
0,2,2,1,4,2,2,1,3,3,1,2,2,3,1,1,1,2,4,2,0,1
0,4,5,5,1,3,1,1,2,1,3,2,2,2,2,0,1,2,2,1,0,1
0,4,5,5,4,1,3,1,4,1,3,2,1,3,2,1,1,2,3,2,0,1
0,4,5,1,5,4,4,1,1,2,3,2,2,3,1,0,1,1,2,2,1,0
0,4,2,3,3,2,4,1,3,2,3,2,2,3,1,1,1,2,2,2,0,1
0,2,2,1,5,5,2,1,4,4,1,3,1,4,1,1,1,5,8,1,0,1
0,4,2,1,3,1,4,1,4,2,3,2,1,3,1,0,1,2,1,3,0,1
0,4,2,4,3,3,1,1,2,3,3,2,1,3,1,1,1,2,3,1,0,1
1,1,2,4,5,5,4,1,2,3,3,2,1,3,1,0,1,2,2,2,1,0
0,2,2,4,2,4,4,1,1,1,3,2,1,3,1,0,1,1,2,1,1,0
0,4,2,4,5,2,2,1,4,2,3,1,1,3,1,1,1,1,4,2,1,0
1,2,5,10,5,1,4,1,4,1,3,2,2,3,1,1,1,2,2,2,0,0
1,1,1,1,5,1,4,1,3,3,3,1,2,3,2,0,1,2,1,2,0,1
0,4,2,4,5,3,4,1,1,1,3,2,1,3,1,1,1,1,1,1,1,0
1,2,2,4,5,5,3,1,2,2,3,2,1,4,1,1,1,2,3,2,1,0
0,2,2,5,5,3,4,3,2,1,3,2,1,3,1,0,0,2,2,1,0,1
1,1,2,3,5,4,2,1,1,2,3,2,2,3,1,0,1,1,4,2,0,1
1,4,1,2,1,5,4,1,1,1,1,2,1,4,1,1,1,4,8,3,1,0
0,1,2,4,5,3,2,1,1,3,3,2,1,3,1,0,1,3,3,1,0,0
0,1,5,5,3,1,4,1,4,3,3,2,2,3,1,0,1,4,1,1,0,1
0,4,2,5,5,2,4,1,2,3,3,1,2,4,2,1,1,2,2,1,0,1
0,1,5,1,5,1,4,1,4,1,3,2,2,3,1,0,1,5,1,2,0,1
1,4,2,10,5,4,1,1,1,3,3,2,2,3,1,0,1,1,9,3,0,0
1,2,2,10,5,3,2,1,2,1,2,2,2,4,1,1,1,1,5,3,0,0
1,1,1,1,1,3,4,1,2,2,3,2,2,2,2,0,1,2,2,2,0,1
0,4,5,4,2,3,4,1,4,1,3,2,1,3,1,1,1,3,4,2,0,1
1,2,5,1,5,1,4,1,4,3,1,2,1,3,2,1,1,2,1,2,0,1
0,4,5,5,5,3,4,1,2,2,3,2,2,3,1,0,1,2,2,2,0,1
1,2,1,2,5,1,2,1,4,4,1,3,1,4,2,1,1,5,6,1,1,0
0,2,5,1,5,5,2,1,3,3,3,3,3,1,1,1,1,5,2,2,0,1
1,1,2,5,4,2,4,1,1,2,3,2,1,3,1,0,1,1,1,1,0,0
0,2,1,4,5,3,1,1,4,3,1,2,2,3,1,1,1,2,4,2,1,0
1,4,2,10,2,3,2,1,3,2,3,2,3,4,1,1,1,4,5,2,0,1
1,2,1,10,4,2,4,1,4,4,3,3,1,2,2,0,1,2,4,4,0,1
1,2,2,10,5,3,4,1,2,3,3,2,1,3,2,1,1,2,4,3,0,1
0,4,2,5,5,2,2,1,2,1,3,1,1,3,1,0,1,1,3,1,0,0
1,2,2,5,4,3,4,3,4,2,3,1,1,3,1,0,1,1,4,4,0,1
1,2,5,3,5,1,2,1,3,3,3,2,2,4,1,1,1,2,2,1,1,0
0,4,5,5,5,3,1,1,1,3,3,2,2,3,1,1,1,1,2,1,1,0
1,2,2,4,4,4,4,1,4,3,1,1,3,3,1,0,1,1,1,1,1,0
0,2,2,2,1,1,4,1,4,4,1,3,1,3,1,1,1,2,3,2,0,1
1,2,2,4,5,1,4,1,3,4,3,2,1,4,1,1,1,2,5,2,0,0
0,4,5,3,3,1,4,1,2,3,3,2,2,3,1,1,1,4,1,1,0,1
0,1,2,1,5,3,4,1,3,1,3,2,1,2,1,0,1,1,2,1,0,0
0,4,2,10,5,2,3,1,4,3,3,2,2,3,1,0,1,1,6,3,0,1
1,1,2,3,5,2,4,1,4,2,3,1,1,3,1,0,1,1,1,1,0,0
0,4,5,1,5,1,4,1,1,1,3,2,2,2,2,0,1,2,2,1,0,1
0,1,5,2,5,1,3,1,4,4,3,3,3,4,2,1,1,2,9,3,0,1
0,4,5,4,5,1,4,1,4,1,3,2,3,3,1,1,1,3,2,1,0,1
0,2,5,3,5,2,4,1,3,2,3,2,1,3,1,0,1,1,2,1,0,1
0,1,2,10,5,3,2,1,2,3,2,2,1,2,1,0,1,1,7,2,0,0
0,4,2,2,2,2,3,1,2,2,3,2,1,3,1,0,0,4,2,1,0,1
0,4,5,5,1,3,1,1,2,1,3,2,2,3,2,0,1,2,4,1,0,1
0,4,2,5,1,1,2,1,4,1,3,2,1,2,1,1,1,3,4,3,1,0
1,1,1,10,5,5,2,1,4,2,2,2,2,3,1,1,1,3,6,3,0,1
1,3,2,10,5,1,4,1,4,1,3,2,1,4,1,1,1,5,2,3,0,1
0,4,5,5,1,1,4,1,2,3,3,2,1,3,1,1,1,4,4,3,0,1
0,2,5,3,1,2,1,1,3,2,3,2,2,2,1,0,1,2,1,1,1,0
0,1,1,10,5,2,3,1,1,2,1,2,1,3,1,1,1,2,4,2,0,1
0,3,2,5,5,3,2,1,2,1,3,2,1,3,1,1,1,1,4,3,0,1
0,1,2,4,5,3,2,1,2,1,3,1,1,2,1,0,1,1,4,2,0,0
0,4,2,1,5,3,2,1,4,3,3,2,1,3,1,1,1,5,2,1,1,0
0,2,2,5,5,4,4,3,1,1,1,2,1,2,1,0,1,1,1,1,0,0
0,1,2,3,1,3,4,1,4,2,1,1,1,3,1,1,1,1,2,1,1,0
0,4,2,5,5,3,4,1,2,1,1,2,2,3,1,0,1,1,1,1,0,1
0,4,2,10,1,3,4,1,4,1,3,2,2,3,2,1,1,2,3,2,0,1
0,4,2,2,5,3,3,1,2,3,3,2,1,3,1,1,1,1,5,2,0,1
0,4,1,3,5,3,4,1,2,3,3,2,2,3,1,0,1,1,3,3,0,1
1,2,2,5,2,2,1,2,2,4,1,2,2,3,1,1,1,1,9,4,0,1
1,1,2,4,5,1,4,1,4,4,3,3,1,4,1,1,1,4,8,1,0,1
1,4,2,5,5,2,4,1,2,3,3,2,1,3,1,0,1,1,2,1,0,1
0,1,2,4,5,4,4,1,1,4,1,3,1,3,1,0,1,1,4,2,0,1
1,3,2,5,5,3,4,1,2,3,3,2,1,3,1,0,1,1,5,3,0,1
0,4,2,1,3,1,2,1,4,4,3,3,1,2,1,0,1,4,3,1,0,1
0,4,2,5,4,2,3,1,1,4,3,2,1,3,1,0,1,2,3,1,0,1
0,2,2,5,5,3,4,3,2,1,3,2,1,2,1,0,1,1,1,2,0,0
0,4,5,5,5,2,2,1,1,1,3,2,3,2,2,0,1,3,2,1,0,1
1,1,2,5,5,5,4,1,2,3,2,2,1,4,2,0,1,1,2,2,0,1
1,2,2,1,1,5,1,1,2,2,3,2,1,1,1,1,1,1,15,1,0,1
1,2,2,10,4,1,4,1,2,3,1,1,2,2,1,0,1,5,3,2,0,0
0,4,5,5,5,3,4,1,2,2,3,2,2,3,1,0,1,2,2,1,1,0
0,1,2,5,5,1,1,3,3,2,3,2,1,3,2,0,1,2,3,3,0,1
1,1,2,1,1,1,4,1,2,3,1,2,1,3,1,0,1,1,1,2,1,0
0,4,2,5,5,2,3,1,2,2,3,2,1,3,2,0,1,4,2,1,0,1
1,1,1,2,5,1,3,1,4,4,3,3,2,3,2,0,1,1,5,4,0,1
0,4,5,10,5,3,3,1,2,1,3,2,2,3,1,0,1,1,2,1,1,0
